,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
422,GARFIELD MEMORIAL HOSPITAL,NORTH 66 SIXTH STREET,POMEROY,WA,99347-,GARFIELD,R,64.37,"6,924",25,"9,125",18,"9,563",25,"9,125",18,54,25,9125,18,9734,76059,197310,1287716,3956642,4054135,179930,7945315,1801892,2553487,4355379,0,0,0,0,0,0,1501623,0,0,1013660,398178,32834,26136,10016,2982447,0,0,0,0,3546524,127865,168138,0,0,0,0,296003,0,41367,0,0,41367,337370,3209154,3209154,3546524,0,0,2150630,2906840,5057470,6823127,8010777,-1187650,913067,-274583,0,-274583,1.82,837379,1056753
423,MID-VALLEY HOSPITAL,810 JASMINE STREET,OMAK,WA,98841-,OKANOGAN,R,176.23,"1,936",25,"9,125",630,"19,966",25,"9,125",630,1571,25,9125,630,0,1703687,796339,1453892,16442632,20188279,443982,32438946,12165272,53084124,65249396,0,0,0,0,0,0,2739704,144092,0,15650980,-9683622,775683,163859,0,10991404,0,0,54218,54218,22372140,2007817,1946523,0,0,0,908484,4862824,0,7327650,0,0,7327650,12190474,10181666,10181666,22372140,0,0,14221336,61467752,75689088,35799102,36630911,-831809,2424600,1592791,0,1592791,0.5,8391693,18973283
424,MEMORIAL HERMANN TIRR,1333 MOURSUND,HOUSTON,TX,77030,HARRIS,U,852.25,"37,153",134,"48,910",1536,"37,153",134,"48,910","1,536",37153,134,48910,1536,949115,2388961,1800845,3277719,63714851,68654256,6571568,120895708,227682756,139510665,367193421,0,0,0,0,0,0,6700,0,0,32637540,0,337712,0,0,33032181,0,0,12191,12191,68207272,-44292,3031915,0,0,0,140573,-13276435,0,0,0,624480,624480,-12651955,80859227,80859227,68207272,0,0,228727678,142196778,370924456,134758551,132369061,2389490,8752543,11142033,0,11142033,0.33,3255363,14337378
425,POST ACUTE MEDICAL AT ALLEN,1001 RAINTREE CIRCLE,ALLEN,TX,75013-4900,COLLIN,U,123.47,"12,134",40,"14,600",1086,"12,134",40,"14,600","1,086",12134,40,14600,1086,0,0,0,0,8353912,7947471,75356,14812127,44405462,1293778,45699240,0,0,0,0,0,0,12741,0,0,2857008,-217079,29916,-477340,39975,2245221,0,0,68379,68379,2910564,549308,555111,49391,0,0,0,1153810,0,0,0,1749087,1749087,2902897,7667,7667,2910564,0,0,44405462,1293778,45699240,20230576,16301383,3929193,16365,3945558,0,3945558,,0,0
426,ACCEL REHABILITATION HOSPITAL PLANO,2301 MARSH LANE  SUITE 200,PLANO,TX,75093-8497,COLLIN,U,62.01,"6,206",149,"54,385",514,"6,206",149,"54,385",514,6206,149,54385,514,0,0,0,0,2828709,6557715,58840,8301173,16608255,0,16608255,346062,0,2828709,0,0,0,1000,210653,0,2255679,-185388,0,47568,0,2442368,0,0,0,2500,2621861,1192033,81069,36244,337554,0,1280392,2927292,0,1737565,0,269776,2007341,4934633,-2312772,-2312772,2621861,0,0,16608256,0,16608256,10483948,9386424,1097524,65104,1162628,0,1162628,,0,0
427,RIO GRANDE HOSPITAL,310 COUNTY ROAD 14,DEL NORTE,CO,81132,RIO GRANDE,R,127.03,"2,443",17,"6,205",563,"22,267",17,"6,205",563,1478,17,6205,563,75860,940200,514465,1618447,9791394,12249753,1098532,17061053,5784877,30703203,36488080,0,0,0,0,0,0,4305619,2700963,0,8269740,-5441278,732118,424626,191352,12116418,0,14348084,0,14348084,43454342,566648,1217326,154496,0,0,77109,2761427,13321167,6925198,0,0,20246365,23007792,20446550,20446550,43454342,0,0,6050501,36326033,42376534,22997928,22041147,956781,1669443,2626224,0,2626224,0.47,2139092,6913797
428,OSAGE BEACH CENTER FOR COGNITIVE DIS,840 PASSOVER ROAD,OSAGE BEACH,MO,65065,CAMDEN,R,34.73,"4,040",12,"4,884",645,"4,040",12,"4,884",645,4040,12,4884,645,0,0,0,0,2086291,2667468,-195855,4024174,8175293,0,8175293,0,0,0,0,0,0,771945,0,0,465104,0,0,33054,0,1270103,0,0,3394725,3394725,4706316,176641,0,0,0,0,92821,269462,0,0,0,5389,5389,274851,4431465,4431465,4706316,0,0,8938819,0,8938819,5550506,4753759,796747,4323,801070,387215,413855,,0,0
429,SPRINGFIELD HOSPITAL,25 RIDGEWOOD ROAD,SPRINGFIELD,VT,05156-,WINDSOR,R,276.07,"4,178",25,"9,125",1104,"6,791",35,"12,775","1,439",3918,25,9125,1104,0,4655780,1937391,1937391,23791702,33793297,1759108,43572178,19891015,81044428,100935443,0,0,0,0,0,0,2203692,0,0,13925068,-7816562,247471,937715,0,10884654,0,356526,0,356526,23192779,2509261,1972022,0,0,0,4726285,9207568,0,0,0,21033427,21033427,30240995,-7931988,-7048216,23192779,0,0,20679809,89532923,110212732,38200918,57584999,-19384081,12003111,-7380970,1834920,-9215890,0.43,0,0
430,NORTH VALLEY HOSPITAL,203 SOUTH WESTERN,TONASKET,WA,98855-,OKANOGAN,R,113.82,"2,437",18,"7,206",272,"18,195",18,"7,206",272,791,18,7206,272,214158,1226636,1132409,2774782,7788829,11541709,1051304,17547833,5832563,22463487,28296050,0,0,0,0,0,0,4997567,0,0,6456845,-3733893,350911,151149,0,13637084,0,0,926656,926656,25459771,561922,739175,0,0,0,804661,2105758,0,8928549,0,0,8928549,11034307,14425464,14425464,25459771,0,0,5832563,27285146,33117709,18189718,19330538,-1140820,1726424,585604,0,585604,0.62,3933279,8990798
431,THE PEAK HOSPITAL,5060 MCNUTT RD,SANTA TERESA,NM,88008,DONA ANA,U,243.55,"19,416",88,"32,120",2172,"28,387",119,"43,435","2,281",19416,88,32120,2172,0,0,0,0,9235230,8715701,572718,15641324,45267175,4118013,49385188,0,0,0,0,0,0,5500,0,0,6553368,-4323941,45979,104615,3820,2449946,0,0,16852376,16852376,24594090,957071,662523,0,0,0,1579849,3199443,0,0,0,0,0,3199443,21394647,21394647,24594090,0,0,46616083,4118013,50734096,18446429,17950931,495498,88989,584487,0,584487,,0,0
432,MOUNT CARMEL BEHAVIORAL HEALTH,4646 HILTON CORPORATE DRIVE,COLUMBUS,OH,43232,FRANKLIN,U,77.22,"9,021",68,"17,680",1146,"9,021",68,"17,680","1,146",9021,68,17680,1146,0,0,0,0,5245443,4364350,986125,9403899,27731401,0,27731401,0,0,0,0,0,0,2187,0,0,5594626,-2972843,41620,41292,0,2706882,0,0,4500000,4500000,33576614,178157,301576,0,0,0,758252,1237985,5105653,0,0,0,5105653,6343638,27232976,27232976,33576614,0,0,27699000,32400,27731400,5123502,9609793,-4486291,9617,-4476674,0,-4476674,,0,0
433,TUBA CITY REG HEALTH CARE CORP,HIGHWAY 264,TUBA CITY,AZ,86045,COCONINO,U,"1,199.00","11,606",73,"26,645",2387,"11,606",73,"26,645","2,387",11119,73,26645,2387,0,0,0,0,81837253,94691400,4907754,94153492,191896,1204608,1396504,1,0,81837253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176528653,-176528653,0,-176528653,0,-176528653,,0,0
434,BROOKS REHABILITATION,3599 UNIVERSITY BLVD SOUTH,JACKSONVILLE,FL,32216,DUVAL,U,611.04,"50,699",160,"58,400",3060,"50,699",160,"58,400","3,060",50699,160,58400,3060,0,0,0,0,41029430,63858879,5665523,94242390,217388365,142691691,360080056,0,0,41029430,0,0,0,1967735,0,0,12462114,0,0,0,1372134,90990313,0,0,4447078,4447078,132354405,150000,11421309,0,1419538,0,651443,15901807,7991460,0,0,2573370,10564830,26466637,105887768,105887768,132354405,0,0,217388365,142691691,360080056,118159764,104888309,13271455,6318345,19589800,895503,18694297,,0,0
435,BACHARACH INSTITUTE FOR REHABILITATI,61 WEST JIMMIE LEEDS ROAD,POMONA,NJ,08240-0723,ATLANTIC,U,90.32,"14,528",52,"18,980",983,"23,958",82,"29,930",983,14528,52,18980,983,0,0,0,0,32399328,22431398,1761836,48963411,58476033,41141112,99617145,8782801,0,32399328,0,102566,0,3389496,0,0,14194424,-7223318,235659,991558,0,12325890,0,8988239,47730316,56718555,79514592,1131232,4167346,0,0,0,44790,6124990,3649960,0,0,0,3649960,9774950,69739642,69739642,79514592,0,0,58476033,41141112,99617145,41371002,54830726,-13459724,14426516,966792,0,966792,,0,0
436,PAM SQUARED AT BEAUMONT,3340 PLAZA 10 BLVD,BEAUMONT,TX,77707,JEFFERSON,U,90.73,"8,108",61,"22,265",734,"8,108",61,"22,265",734,8108,61,22265,734,0,0,0,0,5820040,5659065,246883,10829049,28387871,1273872,29661743,0,0,0,0,0,0,-297,0,0,1883771,29019,35492,289050,8703,2245738,0,0,0,0,3500818,632850,400515,15469,0,0,0,1048834,0,0,0,2737119,2737119,3785953,-285135,-285135,3500818,0,0,28387871,1273873,29661744,13001882,11479105,1522777,13989,1536766,3,1536763,,0,0
437,WARM SPRINGS REHAB VICTORIA,101 JAMES COLEMAN DRIVE,VICTORIA,TX,77904,VICTORIA,U,89.54,"8,979",26,"9,490",806,"8,979",26,"9,490",806,8979,26,9490,806,0,0,0,0,5487504,5989820,121983,10786268,42231567,0,42231567,0,0,0,0,0,0,48621,0,0,1576937,17871,31385,52427,62312,1789553,0,0,0,0,2655260,494298,401137,37861,0,0,0,933296,0,0,0,2040976,2040976,2974272,-319012,-319012,2655260,0,0,42231567,0,42231567,13456357,11477324,1979033,105944,2084977,0,2084977,,0,0
438,TMC BONHAM HOSPITAL,504 LIPSCOMB BLVD,BONHAM,TX,75418-4028,FANNIN,R,141.06,"4,466",20,"7,121",402,"4,466",20,"7,121",402,1460,20,7121,402,2120650,6806158,4436923,4450552,9040213,13101160,45929,18819758,21467185,39803567,61270752,0,0,0,0,0,0,1097496,0,0,8337939,-5584920,354514,165156,0,6928214,0,0,24775,24775,7864794,996141,0,0,0,0,1429737,2425878,0,0,2588469,0,2588469,5014347,2850447,2850447,7864794,0,0,21467185,39803567,61270752,21331542,21970971,-639429,530834,-108595,0,-108595,0.31,1202850,8982807
439,CANDLER COUNTY HOSPITAL,400 CEDAR STREET,METTER,GA,30349-0597,CANDLER,R,132.96,"3,298",25,"9,125",339,"18,521",25,"9,125",339,921,19,6935,339,128555,5676233,1540681,1550477,6867388,8859892,631203,13438189,9836946,47627528,57464474,0,0,0,0,0,0,701328,0,0,14929740,-12547429,185873,34443,0,4850870,0,0,581439,581439,7780550,4008659,612988,0,1902494,0,672780,7196921,0,2905148,0,0,2905148,10102069,-2321519,-2321519,7780550,0,0,10220540,50941375,61161915,20371850,15727280,4644570,3849524,8494094,5676235,2817859,0.23,1490492,7732471
440,SAINT JOSEPH MEMORIAL,2 S. HOSPITAL DRIVE,MURPHYSBORO,IL,62966,,R,227.4,"3,978",25,"9,150",338,"3,978",25,"9,150",338,853,25,9150,338,382366,5821694,2687727,2687727,14460050,34515037,4744762,48331914,11006563,213130912,224137475,0,0,0,0,0,0,5726001,0,0,39889937,-29809055,1617627,85444,227200,17737154,0,301915,20287,322202,38495093,2383754,1722075,0,296345,0,353565,6994088,15001668,0,0,275532,15277200,22271288,16191040,16223805,38495093,0,0,11679336,219623206,231302542,80272595,48975087,31297508,61771,31359279,29152921,2206358,0.22,8242407,51501407
441,COMMUNITY HOWARD SPECIALITY HOSPITAL,829 NORTH DIXON ROAD,KOKOMO,IN,46901,HOWARD,U,98.71,"5,018",30,"10,950",384,"5,018",30,"10,950",384,5018,30,10950,384,0,0,0,0,6532555,6811228,112322,14384992,21553279,18005664,39558943,0,0,0,0,0,0,1013418,0,0,5896566,971000,104468,19830,2225,4204772,0,0,1759366,1759366,6879935,46817,0,0,0,0,426607,473424,0,0,0,337963,337963,811387,6068548,6068548,6879935,0,0,21572025,18338054,39910079,14809617,13343781,1465836,41630,1507466,0,1507466,,0,0
442,STAFFORD COUNTY HOSPITAL,502 SOUTH BUCKEYE,STAFFORD,KS,67578,STAFFORD,R,3.05,"1,655",25,"9,125",48,"2,694",25,"9,125",48,112,25,9125,48,0,134374,254535,638129,243655,7792934,142403,8056474,1060490,3093905,4154395,0,0,0,0,0,0,946930,504593,0,821592,-135000,101388,140299,0,2379802,0,0,0,0,3206136,6838731,12966,162,125362,0,1685,6978906,0,582840,0,915837,1498677,8477583,-5271447,-5271447,3206136,0,0,1060490,3257428,4317918,6866990,8036589,-1169599,562143,-607456,0,-607456,1.94,100470,249612
443,REHABILITATION HOSP OF OVERLAND PARK,5100 INDIAN CREEK PARKWAY,OVERLAND PARK,KS,66207,JOHNSON,U,130,"13,948",45,"16,425",1212,"13,948",45,"16,425","1,212",13948,45,16425,1212,0,0,0,0,8991613,10485481,352731,18597819,61840902,1675610,63516512,0,0,0,0,0,0,69369,0,0,3904758,-943795,39550,982159,-174814,3877227,0,0,0,0,5272743,667569,764797,53277,0,0,1500000,2985643,0,0,0,1641513,1641513,4627156,645587,645587,5272743,0,0,61857188,1659324,63516512,21779211,19477094,2302117,17054,2319171,0,2319171,,0,0
444,ST. LUKES REHAB HOSPITAL,14709 OLIVE BLVD.,CHESTERFIELD,MO,63017,ST. LOUIS,U,77.1,"8,441",35,"12,775",732,"8,441",35,"12,775",732,8441,35,12775,732,0,0,0,0,5054346,4584437,372210,9723516,27012728,1350,27014078,0,0,0,0,0,0,825269,0,0,2088739,-60511,84050,4252,859,3237682,0,0,3583418,3583418,13060505,1446874,344285,6360,0,0,0,1797519,0,0,0,750087,750087,2547606,10512899,10512899,13060505,0,0,27012728,1350,27014078,13474118,9638783,3835335,21550,3856885,0,3856885,,0,0
445,THE CHILDRENS HOSPITAL OF ALABAMA,1600 7TH AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,U,"4,376.00","93,730",341,"124,465",15130,"93,730",341,"124,465","15,130",52138,193,70445,15130,0,0,0,0,293682678,415789068,65842832,580470868,1047857358,514988661,1562846019,0,0,0,0,0,0,171425987,0,0,58249764,934855,16520075,17165482,727161,268665505,0,0,0,-88192408,683876408,85040098,44680862,0,17431812,0,710167,147862939,0,212543337,0,8904963,221448300,369311239,314565169,314565169,683876408,0,0,1049190906,616990425,1666181331,728533391,709471746,19061645,15024698,34086343,736468,33349875,,0,0
446,SUN BEHAVIORAL DELAWARE  LLC,21655 BIDEN AVENUE,GEORGETOWN,DE,19947,,U,134.98,"14,020",90,"32,850",2114,"14,020",90,"32,850","2,114",14020,90,32850,2114,0,0,0,0,7351062,8925420,1111110,15194006,31202761,3082025,34284786,0,0,0,0,0,0,177246,0,0,2888296,-1097792,48386,116142,0,2152998,0,0,383790,435678,32421311,511714,406183,2,512557,0,0,20849521,0,20126407,0,0,20126407,40975928,-8554617,-8554617,32421311,0,0,31202761,4984775,36187536,11557317,16276482,-4719165,37642,-4681523,0,-4681523,,0,0
447,RIVERSIDE REHABILITATION INSTITUTE,250 JOSEPHS DRIVE,YORKTOWN,VA,23693,YORK,U,130.42,"11,792",50,"18,250",891,"11,792",50,"18,250",891,11792,50,18250,891,0,0,0,0,10169298,7040921,589674,15382684,32740647,0,32740647,0,0,10169298,0,0,0,300,0,0,2022279,0,0,87180,20494,2232919,0,0,26893,3634315,7519167,613296,871839,0,56811,0,0,1749271,0,0,0,4827806,4827806,6577077,942090,942090,7519167,0,0,27404939,0,27404939,16835049,17210219,-375170,310263,-64907,0,-64907,,0,0
448,CAROLINAS REHABILITATION,1100 BLYTHE BLVD,CHARLOTTE,NC,28203-,MECKLENBURG,U,586.18,"42,528",150,"54,750",2772,"42,528",150,"54,750","2,772",42528,150,54750,2772,0,0,0,0,39807787,60500633,6699562,84804233,213214839,62398219,275613058,0,0,0,0,0,0,1790,0,0,41690663,-7645043,289614,505770,0,138510605,0,10705079,0,10705079,192582705,792964,18825,0,0,0,33148,3096380,0,0,0,523719,523719,3620099,188962606,188962606,192582705,0,0,213323800,63523095,276846895,89603178,98104414,-8501236,3203420,-5297816,1824635,-7122451,,0,0
449,HARRISON COMMUNITY HOSPITAL,951 EAST MARKET STREET,CADIZ,OH,43907-,HARRISON,R,184,"1,075",25,"9,125",80,"1,075",25,"9,125",80,188,25,9125,80,44723,1582448,825666,2555751,5943686,15878042,751391,10782617,1960552,24928534,26889086,0,0,0,0,0,0,3516708,0,0,5831631,-4369222,643152,345416,0,7298869,0,0,2551429,2551429,15063138,548995,523959,81377,69918,0,668756,1913834,0,19560,0,11903490,11923050,13836884,1226254,1226254,15063138,0,0,2227809,27504389,29732198,10971413,21821728,-10850315,9198378,-1651937,0,-1651937,0.4,877629,6580423
450,HOLY ROSARY HEALTHCARE,2600 WILSON STREET,MILES CITY,MT,59301,CUSTER,R,181.6,"5,857",25,"9,125",1500,"71,740",109,"39,785","1,500",2132,21,7665,1500,1050749,1313537,2004354,2014930,17830753,36140408,2016542,54952653,25466881,59824935,85291816,0,0,0,0,0,0,10347,0,103558,10038689,-3622123,994047,461825,120706,25319823,0,0,175122,175122,51428481,3081573,2442771,0,0,8417,5124619,10657380,0,0,0,46545,46545,10703925,40724556,40724556,51428481,0,0,27406412,62721421,90127833,56862662,55414499,1448163,5678954,7127117,1089619,6037498,0.64,5391477,10965434
451,SANTA FE INDIAN HOSPITAL,1700 CERILLIOS ROAD,SANTA FE,NM,87505,SANTA FE,U,179,,4,"1,460",,,4,"1,460",,,4,1460,,0,0,0,0,13365556,19929649,591027,12858897,0,126096,126096,2,0,13365556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33295205,-33295205,0,-33295205,0,-33295205,,0,0
452,LILLIAN M. HUDSPETH MEMORIAL HOSP.,310 HUDSPETH,SONORA,TX,76950-,SUTTON,R,72.2,839,12,"4,380",127,"3,761",12,"4,380",127,359,12,4380,127,833288,518679,1120915,1161514,4323234,5200788,703950,8281909,1557385,13297287,14854672,0,0,0,0,0,0,7938844,0,0,2375181,-639203,129748,38631,15163085,26239393,0,0,100493,100493,34637734,268067,358908,8213,0,-348858,-5659,280671,0,633894,0,0,633894,914565,33723169,33723169,34637734,0,0,1557385,13771373,15328758,9255377,9524022,-268645,4936898,4668253,10151,4658102,0.56,165318,744633
453,SELLS HOSPITAL,HWY 86 & TOPAWA RD,SELLS,AZ,85634-0548,PIMA,U,578,811,14,"5,110",240,811,14,"5,110",240,811,14,5110,240,0,0,0,0,35090534,56060114,1795581,39690420,9732,342276,352008,1,0,35090534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91150648,-91150648,0,-91150648,0,-91150648,,0,0
454,CHEROKEE NATION WW HASTINGS HOSPITAL,100 SOUTH BLISS AVENUE,TAHLEQUAH,OK,74464,CHEROKEE,R,844,"6,014",52,"18,980",2227,"6,014",52,"18,980","2,227",6014,52,18980,2227,0,0,0,0,33172597,77576420,5232205,79936697,96224,1243245,1339469,1,0,33172597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110749017,-110749017,0,-110749017,0,-110749017,,0,0
455,VALIR REHAB HOSPITAL,700 NW 7TH STREET,OKLAHOMA CITY,OK,73102-,OKLAHOMA,U,143.01,"13,631",50,"18,250",1005,"13,631",50,"18,250","1,005",13631,50,18250,1005,0,0,0,0,8495501,6844548,62506,14498181,28877273,365066,29242339,0,0,0,0,0,0,12259,0,0,4170842,-1912364,122814,136026,0,2622032,0,0,77939,77939,3244023,380550,321395,0,898,0,124005,826848,0,0,0,-1799138,-1799138,-972290,4216313,4216313,3244023,0,0,28877273,365066,29242339,16196014,15340049,855965,1350661,2206626,0,2206626,,0,0
456,WILLOW CREEK BEHAVIORAL HEALTH,1351 ONTARIO RD,GREEN BAY,WI,54311,BROWN,U,139.9,"15,212",72,"26,280",2224,"15,212",72,"26,280","2,224",15212,72,26280,2224,0,0,0,0,7422583,7841985,590807,13642504,28774655,2968088,31742743,0,0,0,0,0,0,4000,0,0,5765972,-3730294,18277,108559,0,2176813,0,0,0,0,14813443,728115,510359,0,0,0,1177,1239651,0,0,0,0,0,1239651,13573792,13573792,14813443,0,0,31273795,2968088,34241883,15717481,15264568,452913,9334,462247,0,462247,,0,0
457,TEXAS HEALTH HEART & VASCULAR HOSP,811 WRIGHT ST,ARLINGTON,TX,76012-4716,TARRANT,U,170.39,"4,348",47,"17,155",929,"4,348",47,"17,155",929,2900,27,9855,929,927380,1932135,1698510,1698510,-100594,48923529,1831468,48649400,92304556,103921346,196225902,3413679,0,12695183,0,0,0,13907112,0,0,6273913,0,2038026,0,-32809,22244103,0,0,17071635,17071635,48105858,7430960,0,0,786560,0,550550,12451416,0,14146349,88253,15836153,30070755,42522171,5583687,5583687,48105858,0,0,92304554,103921344,196225898,52644778,48822935,3821843,1761844,5583687,0,5583687,0.25,124251,2010265
458,HOOPESTON COMMUNITY MEMORIAL HOSPITA,701 EAST ORANGE,HOOPSETON,IL,60942,VERMILION,R,102.42,"1,380",22,"8,030",361,"179,548",22,"8,030",361,904,22,8030,361,2876798,1612288,3568837,10510634,18708894,49867046,5046162,67401987,8885255,124435951,133321206,0,0,0,0,0,0,-297816,0,0,17342776,-11968186,0,127683,935704,6140161,0,4209218,4901845,9111063,28503533,104809,2046475,0,482057,0,6535676,25320778,7644678,0,0,0,7644678,32965456,-4461923,-4461923,28503533,0,0,9011949,140192115,149204064,69545729,71396803,-1851074,607533,-1243541,0,-1243541,0.51,8966570,31466760
459,MARCUM & WALLACE MEMORIAL HOSPITAL,60 MERCY COURT,IRVINE,KY,40336-0928,ESTILL,R,105.05,"5,695",25,"9,125",1114,"34,560",25,"9,125","1,114",2288,25,9125,1114,152287,1807283,817844,2407527,9619424,16512351,-199325,21599203,17390676,57351633,74742309,0,0,0,0,0,0,-26104553,0,0,1222236,0,289584,184,30625,-24561924,0,0,919067,919067,-17520936,2305300,178116,0,0,0,224621,5763250,0,684204,0,-1,684203,6447453,-23968389,-23968389,-17520936,0,0,17390675,57684347,75075022,21660535,26131775,-4471240,3885700,-585540,0,-585540,0.29,4391808,21447569
460,MACKINAC STRAITS HEALTH SYSTEM  INC,1140 NORTH STATE STREET,ST. IGNACE,MI,49781,MACKINAC,R,165.15,"1,744",15,"5,490",238,"41,817",63,"23,058",238,690,15,5490,238,259988,1196210,954511,3086682,16083041,32557890,2483938,43806296,8832923,57680212,66513135,6045404,0,16083041,0,66808,0,48938,0,0,13969145,-8513519,1273578,199005,1295759,8884420,0,1734704,530080,2264784,43280563,4664204,1947986,166706,1728975,0,76143,8584014,0,49230849,0,9133054,58363903,66947917,-23697444,-23667354,43280563,0,0,9119621,62308169,71427790,45667285,48640931,-2973646,4388847,1415201,1509675,-94474,0.66,753057,5767483
461,ROCKEFELLER UNIVERSITY HOSPITAL,1230 YORK AVENUE,NEW YORK,NY,10021,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
462,PIGGOTT COMMUNITY HOSPITAL,1206 HIGHWAY 62,PIGGOTT,AR,72454,CLAY,R,208.1,"4,772",25,"9,125",772,"28,909",25,"9,125",772,2718,25,9125,772,48063,1893177,917752,917752,9236696,13221393,647984,19728979,9029911,32722860,41752771,0,0,0,0,0,0,-172765,0,0,3625538,0,300701,117438,0,3870912,0,0,92072,92072,5812849,1520523,606280,0,0,0,3971,2875696,0,2249262,0,0,2249262,5124958,687891,687891,5812849,0,0,9256331,35554881,44811212,20501576,22458089,-1956513,1071598,-884915,0,-884915,0.47,826012,1415431
463,RENVILLE COUNTY HOSPITAL AND CLINICS,100 HEALTH WAY,OLIVIA,MN,56277-1397,RENVILLE,R,105.45,"1,266",16,"5,840",260,"22,805",32,"11,680",260,707,16,5840,260,0,589923,312824,914929,11586893,17856710,2976409,25037511,6841404,40329281,47170685,0,0,0,0,0,0,30710590,0,0,3185830,0,705802,262250,451557,36296729,0,0,1365497,1365497,58879142,763483,0,0,290269,0,0,2309124,0,17775257,0,10521305,28296562,30605686,28273456,28273456,58879142,0,0,7507798,42107616,49615414,30128758,29443603,685155,3613674,4298829,589923,3708906,0.53,4861609,10293649
464,LANDMARK REHABILITATION HOSPITAL OF,604 OLD HIGHWAY 63 NORTH,COLUMBIA,MO,65201,BOONE,U,12,"1,283",16,"5,840",111,"1,283",16,"5,840",111,1283,16,5840,111,0,0,0,0,883641,1041184,12839,1881168,6092250,0,6092250,0,0,883641,0,0,0,-118162,0,0,119384,0,0,0,0,1222,0,0,0,0,370666,453409,0,0,0,0,284699,738108,0,250000,0,0,250000,988108,-617442,-617442,370666,0,0,6092250,0,6092250,1398734,1924825,-526091,670,-525421,0,-525421,,0,0
465,SPRINGFIELD BEHAVIORAL HOSPITAL,2828 N NATIONAL AVE,SPRINGFIELD,MO,65803,,U,65.61,"3,914",32,"9,376",555,"3,914",32,"9,376",555,3914,32,9376,555,0,0,0,0,3493365,4755512,124615,6953247,7487539,0,7487539,0,0,0,0,0,0,-76888,0,0,1040474,-188746,0,0,0,774840,0,0,0,30000,1088700,363059,177790,26247,0,0,107957,675053,0,0,0,6376821,6376821,7051874,-5963174,-5963174,1088700,0,0,7487539,0,7487539,2985942,8248877,-5262935,19480,-5243455,0,-5243455,,0,0
